date;Dentists;Uyghurs;James Webb space telescope;US markets;air travel;isPartial
2022-01-01;15;0;24;0;14;False
2022-01-02;33;0;12;0;26;False
2022-01-03;46;0;15;3;21;False
2022-01-04;82;0;14;3;23;False
2022-01-05;72;0;66;3;32;False
2022-01-06;58;0;10;3;26;False
2022-01-07;58;0;19;0;26;False
2022-01-08;44;3;74;2;30;False
2022-01-09;36;0;95;0;23;False
2022-01-10;86;2;14;0;41;False
2022-01-11;80;0;7;0;33;False
2022-01-12;78;4;2;0;28;False
2022-01-13;81;0;16;0;42;False
2022-01-14;47;3;9;3;35;False
2022-01-15;39;0;4;4;28;False
2022-01-16;41;0;3;0;30;False
2022-01-17;89;4;7;10;27;False
2022-01-18;68;7;2;4;25;False
2022-01-19;57;8;4;0;31;False
2022-01-20;80;5;5;5;23;False
2022-01-21;62;5;4;4;16;False
2022-01-22;31;2;4;0;22;False
2022-01-23;39;0;5;0;29;False
2022-01-24;100;0;12;14;41;False
2022-01-25;84;0;42;9;21;False
2022-01-26;69;0;13;5;27;False
2022-01-27;53;0;5;2;30;False
2022-01-28;52;2;3;0;21;False
2022-01-29;45;0;0;0;25;False
2022-01-30;36;0;2;0;30;False
2022-01-31;67;3;0;0;35;False
