date;arnold schwarzenegger;obesity;military;hiv;air travel;isPartial
2022-01-01;10;8;84;21;5;False
2022-01-02;13;8;81;21;9;False
2022-01-03;6;10;70;20;7;False
2022-01-04;7;12;68;25;7;False
2022-01-05;8;14;65;24;11;False
2022-01-06;4;10;60;20;8;False
2022-01-07;8;13;66;25;9;False
2022-01-08;10;5;71;22;10;False
2022-01-09;7;9;80;21;8;False
2022-01-10;8;13;76;26;13;False
2022-01-11;7;13;68;27;11;False
2022-01-12;7;13;72;26;9;False
2022-01-13;8;16;86;24;14;False
2022-01-14;7;8;71;22;12;False
2022-01-15;9;8;96;22;9;False
2022-01-16;8;10;92;28;10;False
2022-01-17;10;11;72;26;9;False
2022-01-18;8;11;66;24;8;False
2022-01-19;6;13;67;21;10;False
2022-01-20;7;10;79;24;7;False
2022-01-21;6;10;75;25;5;False
2022-01-22;72;8;92;20;7;False
2022-01-23;24;10;82;21;10;False
2022-01-24;13;12;100;30;13;False
2022-01-25;8;14;85;26;7;False
2022-01-26;8;13;81;22;9;False
2022-01-27;38;11;77;25;10;False
2022-01-28;31;9;76;25;7;False
2022-01-29;16;7;83;23;8;False
2022-01-30;10;8;84;17;10;False
2022-01-31;9;9;79;20;11;False
