date;Emma Thompson;Meera Syal;Sanjeev Bhaskar;Network Rail;air travel;isPartial
2022-01-01;85;6;0;34;26;False
2022-01-02;77;3;4;38;48;False
2022-01-03;43;0;0;33;40;False
2022-01-04;33;0;0;79;42;False
2022-01-05;16;15;4;76;59;False
2022-01-06;25;8;0;72;47;False
2022-01-07;14;6;0;61;49;False
2022-01-08;33;0;0;50;55;False
2022-01-09;20;0;0;40;43;False
2022-01-10;20;0;0;97;75;False
2022-01-11;23;6;0;82;61;False
2022-01-12;18;0;0;64;52;False
2022-01-13;0;0;0;93;77;False
2022-01-14;21;0;0;67;65;False
2022-01-15;40;4;0;42;51;False
2022-01-16;99;0;5;39;56;False
2022-01-17;19;0;0;100;50;False
2022-01-18;23;0;0;99;46;False
2022-01-19;22;0;0;77;58;False
2022-01-20;35;0;5;73;42;False
2022-01-21;35;52;3;66;29;False
2022-01-22;45;7;0;47;41;False
2022-01-23;29;0;0;50;53;False
2022-01-24;58;0;0;82;75;False
2022-01-25;71;10;0;68;38;False
2022-01-26;42;4;0;92;49;False
2022-01-27;22;0;0;80;55;False
2022-01-28;21;0;4;85;38;False
2022-01-29;31;0;8;69;46;False
2022-01-30;19;0;0;55;55;False
2022-01-31;20;13;0;89;64;False
