date;sussex;piers morgan;ocean rescue;sir lindsay hoyle;air travel;isPartial
2022-01-01;64;32;0;0;3;False
2022-01-02;70;21;0;1;5;False
2022-01-03;80;23;0;0;5;False
2022-01-04;87;19;0;1;6;False
2022-01-05;86;23;0;0;7;False
2022-01-06;78;22;0;0;6;False
2022-01-07;75;30;0;0;6;False
2022-01-08;71;21;0;0;6;False
2022-01-09;81;26;1;0;4;False
2022-01-10;90;22;0;0;8;False
2022-01-11;80;28;0;1;6;False
2022-01-12;78;28;1;0;7;False
2022-01-13;83;28;0;0;7;False
2022-01-14;75;36;0;0;7;False
2022-01-15;80;27;0;1;6;False
2022-01-16;87;53;0;1;7;False
2022-01-17;82;38;1;0;5;False
2022-01-18;77;30;0;0;5;False
2022-01-19;76;27;1;1;7;False
2022-01-20;77;24;1;0;3;False
2022-01-21;77;21;0;0;2;False
2022-01-22;70;23;0;0;6;False
2022-01-23;80;20;0;0;7;False
2022-01-24;100;27;0;0;7;False
2022-01-25;73;22;0;0;4;False
2022-01-26;78;25;2;1;6;False
2022-01-27;72;22;0;0;5;False
2022-01-28;79;22;0;1;4;False
2022-01-29;71;16;0;0;5;False
2022-01-30;73;35;0;0;6;False
2022-01-31;83;26;1;1;7;False
