date;el chapo;us election 2024;south yorkshire;2022 world cup;air travel;isPartial
2022-01-01;6;3;27;81;9;False
2022-01-02;10;0;42;72;19;False
2022-01-03;8;0;40;62;19;False
2022-01-04;5;0;52;61;20;False
2022-01-05;11;0;39;51;26;False
2022-01-06;10;6;40;49;21;False
2022-01-07;10;3;33;52;23;False
2022-01-08;9;0;37;53;22;False
2022-01-09;10;0;32;69;16;False
2022-01-10;8;0;39;59;27;False
2022-01-11;11;0;38;54;22;False
2022-01-12;5;4;34;48;26;False
2022-01-13;6;0;42;52;26;False
2022-01-14;4;0;37;57;27;False
2022-01-15;3;0;22;71;22;False
2022-01-16;6;0;38;83;26;False
2022-01-17;7;0;45;62;18;False
2022-01-18;8;3;27;59;19;False
2022-01-19;10;3;30;73;26;False
2022-01-20;9;0;31;73;12;False
2022-01-21;7;0;29;59;8;False
2022-01-22;3;0;28;76;22;False
2022-01-23;11;0;28;87;24;False
2022-01-24;6;2;43;73;26;False
2022-01-25;9;1;39;54;15;False
2022-01-26;6;2;31;69;20;False
2022-01-27;9;0;39;68;17;False
2022-01-28;6;0;37;91;15;False
2022-01-29;10;2;35;100;16;False
2022-01-30;6;0;26;98;20;False
2022-01-31;8;0;32;71;27;False
