date;Extreme sports;Bulgaria;Council of Europe;Sexual violence;air travel;isPartial
2022-01-01;2;60;0;3;10;False
2022-01-02;0;68;0;1;19;False
2022-01-03;3;61;4;2;16;False
2022-01-04;2;69;0;0;16;False
2022-01-05;2;80;0;3;23;False
2022-01-06;2;89;4;4;18;False
2022-01-07;0;88;4;3;19;False
2022-01-08;1;82;1;3;22;False
2022-01-09;0;100;4;5;17;False
2022-01-10;2;90;0;2;29;False
2022-01-11;1;81;1;5;24;False
2022-01-12;2;75;0;2;20;False
2022-01-13;3;82;2;6;30;False
2022-01-14;1;61;0;0;25;False
2022-01-15;0;74;0;0;20;False
2022-01-16;0;80;2;0;22;False
2022-01-17;0;77;2;2;20;False
2022-01-18;0;64;0;3;18;False
2022-01-19;1;73;2;2;23;False
2022-01-20;0;68;0;2;16;False
2022-01-21;0;78;3;3;11;False
2022-01-22;0;80;0;3;16;False
2022-01-23;0;77;0;3;21;False
2022-01-24;0;99;2;5;29;False
2022-01-25;0;87;0;3;15;False
2022-01-26;0;84;2;4;19;False
2022-01-27;7;67;3;3;22;False
2022-01-28;0;64;0;3;15;False
2022-01-29;0;77;2;0;18;False
2022-01-30;4;85;0;1;22;False
2022-01-31;0;75;2;3;25;False
