date;Confederation of British Industry (CBI);New York Times;Telecoms;The Beatles;air travel;isPartial
2022-01-01;0;48;0;100;15;False
2022-01-02;0;42;0;81;28;False
2022-01-03;0;37;6;70;23;False
2022-01-04;0;47;8;75;24;False
2022-01-05;0;35;15;65;35;False
2022-01-06;0;30;12;59;28;False
2022-01-07;0;57;11;68;28;False
2022-01-08;0;32;3;75;32;False
2022-01-09;0;34;7;66;25;False
2022-01-10;0;39;15;47;44;False
2022-01-11;0;54;16;46;35;False
2022-01-12;0;52;10;57;30;False
2022-01-13;0;35;10;56;45;False
2022-01-14;0;38;8;47;38;False
2022-01-15;0;40;3;76;30;False
2022-01-16;0;43;6;55;32;False
2022-01-17;0;58;13;45;29;False
2022-01-18;0;38;16;47;27;False
2022-01-19;0;37;9;77;34;False
2022-01-20;0;42;14;66;24;False
2022-01-21;0;45;17;65;17;False
2022-01-22;0;41;7;72;24;False
2022-01-23;0;43;6;64;31;False
2022-01-24;0;57;15;59;44;False
2022-01-25;0;37;12;61;22;False
2022-01-26;0;41;13;49;29;False
2022-01-27;0;38;15;55;32;False
2022-01-28;0;41;10;71;22;False
2022-01-29;0;27;0;73;27;False
2022-01-30;0;42;13;63;32;False
2022-01-31;0;45;13;60;37;False
