date;Abbey theatre;Bill Murray;York;Arts Council England;air travel;isPartial
2022-01-01;0;1;86;0;1;False
2022-01-02;1;1;78;0;1;False
2022-01-03;0;1;84;0;1;False
2022-01-04;0;0;78;0;1;False
2022-01-05;0;0;80;0;2;False
2022-01-06;0;0;75;0;1;False
2022-01-07;0;1;90;0;1;False
2022-01-08;0;1;99;0;2;False
2022-01-09;0;1;98;0;1;False
2022-01-10;0;1;96;0;2;False
2022-01-11;0;1;82;0;2;False
2022-01-12;0;1;77;0;1;False
2022-01-13;0;0;93;0;2;False
2022-01-14;0;0;79;0;2;False
2022-01-15;0;1;100;0;1;False
2022-01-16;0;1;97;0;2;False
2022-01-17;0;1;84;0;1;False
2022-01-18;0;1;74;0;1;False
2022-01-19;0;1;68;0;2;False
2022-01-20;0;1;76;0;1;False
2022-01-21;0;0;79;0;1;False
2022-01-22;0;1;92;0;1;False
2022-01-23;0;0;89;0;2;False
2022-01-24;0;0;98;0;2;False
2022-01-25;0;1;78;0;1;False
2022-01-26;0;1;72;0;1;False
2022-01-27;0;1;71;0;2;False
2022-01-28;0;1;83;0;1;False
2022-01-29;0;0;99;0;1;False
2022-01-30;0;0;93;0;2;False
2022-01-31;0;1;82;0;2;False
