date;I, Tonya;James Bay;Wigmore Hall;Conservative leadership;air travel;isPartial
2022-01-01;6;31;0;0;34;False
2022-01-02;0;28;14;0;64;False
2022-01-03;0;19;7;0;61;False
2022-01-04;0;0;7;0;82;False
2022-01-05;0;21;20;0;81;False
2022-01-06;0;21;21;10;72;False
2022-01-07;0;28;11;0;80;False
2022-01-08;0;21;9;0;66;False
2022-01-09;0;22;15;0;65;False
2022-01-10;0;17;8;15;98;False
2022-01-11;0;21;10;0;73;False
2022-01-12;0;6;0;26;78;False
2022-01-13;0;12;31;12;95;False
2022-01-14;0;41;7;7;82;False
2022-01-15;0;15;11;0;71;False
2022-01-16;0;38;8;13;84;False
2022-01-17;0;36;13;0;46;False
2022-01-18;0;26;8;7;68;False
2022-01-19;8;11;5;13;70;False
2022-01-20;0;14;5;10;49;False
2022-01-21;5;22;18;4;44;False
2022-01-22;6;33;10;11;67;False
2022-01-23;0;37;15;0;73;False
2022-01-24;0;15;13;0;100;False
2022-01-25;0;31;16;0;56;False
2022-01-26;0;34;16;5;75;False
2022-01-27;0;15;12;0;62;False
2022-01-28;8;26;7;5;57;False
2022-01-29;0;29;16;8;59;False
2022-01-30;7;35;13;0;88;False
2022-01-31;7;25;0;5;89;False
