date;Gazprom;Kevin Costner;Zac Efron;Mitchell Starc;air travel;isPartial
2022-01-01;0;19;34;2;14;False
2022-01-02;0;72;40;0;25;False
2022-01-03;5;12;32;0;21;False
2022-01-04;4;13;26;0;22;False
2022-01-05;9;16;20;0;31;False
2022-01-06;0;7;19;0;25;False
2022-01-07;4;17;30;4;26;False
2022-01-08;5;16;33;6;29;False
2022-01-09;0;27;37;0;22;False
2022-01-10;10;12;31;0;39;False
2022-01-11;7;7;18;2;32;False
2022-01-12;5;10;16;0;27;False
2022-01-13;0;12;18;2;41;False
2022-01-14;3;9;23;7;34;False
2022-01-15;0;15;41;3;27;False
2022-01-16;0;24;100;5;29;False
2022-01-17;4;10;26;0;26;False
2022-01-18;11;20;19;4;24;False
2022-01-19;7;7;15;0;30;False
2022-01-20;10;11;21;5;22;False
2022-01-21;0;15;28;0;15;False
2022-01-22;10;17;51;0;22;False
2022-01-23;8;9;36;0;28;False
2022-01-24;8;12;25;0;39;False
2022-01-25;7;11;23;0;20;False
2022-01-26;13;9;18;0;26;False
2022-01-27;8;9;23;0;29;False
2022-01-28;4;8;32;4;20;False
2022-01-29;3;21;40;3;24;False
2022-01-30;0;14;25;3;29;False
2022-01-31;8;12;28;0;33;False
