date;coral reef;grenfell tower;katie price;ian king business podcast;air travel;isPartial
2022-01-01;4;1;11;0;2;False
2022-01-02;3;1;12;0;4;False
2022-01-03;2;0;8;0;4;False
2022-01-04;2;1;21;0;4;False
2022-01-05;2;1;13;0;5;False
2022-01-06;2;1;10;0;4;False
2022-01-07;2;2;13;0;5;False
2022-01-08;3;2;17;0;4;False
2022-01-09;4;1;20;0;3;False
2022-01-10;3;6;19;0;5;False
2022-01-11;2;1;27;0;4;False
2022-01-12;4;2;22;0;5;False
2022-01-13;3;1;16;0;5;False
2022-01-14;1;1;12;0;5;False
2022-01-15;4;1;19;0;4;False
2022-01-16;3;2;17;0;5;False
2022-01-17;3;1;12;0;4;False
2022-01-18;2;2;10;0;4;False
2022-01-19;2;0;13;0;5;False
2022-01-20;5;2;18;0;2;False
2022-01-21;5;1;17;0;2;False
2022-01-22;4;1;46;0;4;False
2022-01-23;4;1;79;0;5;False
2022-01-24;2;2;50;0;5;False
2022-01-25;2;1;28;0;3;False
2022-01-26;3;1;100;0;4;False
2022-01-27;2;2;79;0;3;False
2022-01-28;4;1;49;0;3;False
2022-01-29;5;1;51;0;3;False
2022-01-30;4;1;39;0;4;False
2022-01-31;3;1;26;0;5;False
