date;Game culture;Kevin Smith;Anders Breivik;Hulu;air travel;isPartial
2022-01-01;2;5;0;100;17;False
2022-01-02;0;3;0;73;31;False
2022-01-03;0;0;0;47;26;False
2022-01-04;0;3;7;55;27;False
2022-01-05;2;9;0;35;39;False
2022-01-06;0;4;10;31;31;False
2022-01-07;0;9;0;36;32;False
2022-01-08;5;4;0;43;36;False
2022-01-09;0;7;0;64;28;False
2022-01-10;0;11;0;48;49;False
2022-01-11;8;0;3;35;40;False
2022-01-12;3;7;4;26;34;False
2022-01-13;0;0;0;34;50;False
2022-01-14;4;6;3;22;42;False
2022-01-15;0;7;0;49;33;False
2022-01-16;0;3;0;41;36;False
2022-01-17;0;10;6;36;33;False
2022-01-18;0;0;33;30;30;False
2022-01-19;0;3;18;28;37;False
2022-01-20;0;8;8;35;27;False
2022-01-21;3;12;7;25;19;False
2022-01-22;0;0;3;27;27;False
2022-01-23;0;4;5;50;35;False
2022-01-24;0;3;5;43;49;False
2022-01-25;0;0;4;36;25;False
2022-01-26;0;4;7;28;32;False
2022-01-27;4;6;0;27;36;False
2022-01-28;0;9;2;21;25;False
2022-01-29;0;6;0;29;30;False
2022-01-30;0;6;0;38;36;False
2022-01-31;5;6;0;20;41;False
