date;Rupert Murdoch;News Corporation;Bob Dylan;Aston Villa Women;air travel;isPartial
2022-01-01;16;0;100;0;19;False
2022-01-02;14;0;37;3;36;False
2022-01-03;12;0;52;0;29;False
2022-01-04;21;7;34;6;31;False
2022-01-05;9;7;20;0;44;False
2022-01-06;11;0;38;0;35;False
2022-01-07;12;0;36;0;36;False
2022-01-08;9;2;53;6;41;False
2022-01-09;9;0;39;0;32;False
2022-01-10;11;0;35;5;56;False
2022-01-11;8;5;33;0;45;False
2022-01-12;10;0;41;0;39;False
2022-01-13;21;8;35;0;57;False
2022-01-14;26;0;40;7;48;False
2022-01-15;21;0;55;6;38;False
2022-01-16;13;0;53;0;41;False
2022-01-17;11;0;24;0;37;False
2022-01-18;15;4;29;0;34;False
2022-01-19;10;5;40;0;43;False
2022-01-20;8;7;66;0;31;False
2022-01-21;8;8;34;0;22;False
2022-01-22;3;0;37;4;31;False
2022-01-23;7;2;42;7;40;False
2022-01-24;9;0;57;9;56;False
2022-01-25;20;0;50;0;28;False
2022-01-26;10;0;28;4;37;False
2022-01-27;5;3;34;0;41;False
2022-01-28;12;3;49;3;28;False
2022-01-29;7;0;55;16;34;False
2022-01-30;7;0;49;0;41;False
2022-01-31;4;0;24;3;47;False
