date;Shares;Investments;Investment funds;Artificial intelligence (AI);air travel;isPartial
2022-01-01;31;8;1;0;3;False
2022-01-02;36;10;1;1;5;False
2022-01-03;42;10;2;0;4;False
2022-01-04;80;17;1;1;4;False
2022-01-05;75;17;2;0;6;False
2022-01-06;75;16;2;0;5;False
2022-01-07;73;17;2;0;5;False
2022-01-08;41;9;1;1;5;False
2022-01-09;36;11;0;0;4;False
2022-01-10;78;19;3;0;7;False
2022-01-11;69;19;0;0;6;False
2022-01-12;73;17;2;0;5;False
2022-01-13;88;20;1;0;8;False
2022-01-14;62;13;1;0;6;False
2022-01-15;36;9;1;1;5;False
2022-01-16;34;9;1;1;6;False
2022-01-17;74;19;2;2;5;False
2022-01-18;72;19;1;1;5;False
2022-01-19;67;15;2;1;6;False
2022-01-20;72;16;1;0;4;False
2022-01-21;69;13;1;1;3;False
2022-01-22;35;9;1;1;4;False
2022-01-23;29;10;1;0;5;False
2022-01-24;100;19;2;0;7;False
2022-01-25;71;14;1;1;4;False
2022-01-26;73;17;1;0;5;False
2022-01-27;74;16;1;1;6;False
2022-01-28;67;16;1;0;4;False
2022-01-29;39;9;1;0;5;False
2022-01-30;33;9;1;1;6;False
2022-01-31;67;18;0;1;6;False
