date;denzel washington;golden globes;jason sudeikis;jennifer aniston;air travel;isPartial
2022-01-01;11;1;1;15;4;False
2022-01-02;7;2;2;13;7;False
2022-01-03;6;2;2;7;6;False
2022-01-04;7;3;2;9;6;False
2022-01-05;4;5;1;10;9;False
2022-01-06;8;2;1;11;7;False
2022-01-07;32;3;1;11;7;False
2022-01-08;16;4;2;15;8;False
2022-01-09;9;17;2;13;6;False
2022-01-10;8;100;3;10;11;False
2022-01-11;6;23;0;10;9;False
2022-01-12;7;10;2;12;7;False
2022-01-13;5;6;5;13;11;False
2022-01-14;8;5;9;12;9;False
2022-01-15;15;8;3;18;7;False
2022-01-16;19;6;4;18;8;False
2022-01-17;9;4;1;12;7;False
2022-01-18;8;2;2;13;7;False
2022-01-19;6;6;1;10;8;False
2022-01-20;7;2;1;10;6;False
2022-01-21;10;3;1;12;4;False
2022-01-22;12;4;1;15;6;False
2022-01-23;7;3;1;14;8;False
2022-01-24;4;3;2;12;11;False
2022-01-25;5;2;0;10;5;False
2022-01-26;5;2;0;10;7;False
2022-01-27;4;0;1;10;8;False
2022-01-28;4;2;2;10;5;False
2022-01-29;6;1;2;14;7;False
2022-01-30;7;1;1;16;8;False
2022-01-31;5;1;1;10;9;False
