date;Kamala Harris;US Capitol attack;Joe Biden;National insurance;air travel;isPartial
2022-01-01;2;0;6;13;3;False
2022-01-02;2;0;5;17;5;False
2022-01-03;0;0;5;21;4;False
2022-01-04;1;0;5;33;4;False
2022-01-05;3;0;3;31;7;False
2022-01-06;1;0;10;34;5;False
2022-01-07;1;0;6;34;5;False
2022-01-08;1;0;5;20;5;False
2022-01-09;1;0;6;21;3;False
2022-01-10;1;0;4;35;8;False
2022-01-11;1;0;3;34;5;False
2022-01-12;1;0;5;35;6;False
2022-01-13;2;0;6;39;7;False
2022-01-14;0;0;5;28;6;False
2022-01-15;2;0;5;21;6;False
2022-01-16;1;0;6;24;7;False
2022-01-17;0;0;4;33;4;False
2022-01-18;1;0;4;37;5;False
2022-01-19;1;0;6;36;6;False
2022-01-20;1;0;10;31;4;False
2022-01-21;1;0;6;35;3;False
2022-01-22;5;0;6;24;4;False
2022-01-23;1;0;5;25;5;False
2022-01-24;2;0;6;51;7;False
2022-01-25;0;0;9;42;4;False
2022-01-26;0;1;5;43;5;False
2022-01-27;1;0;4;49;5;False
2022-01-28;0;0;6;66;4;False
2022-01-29;1;0;100;44;5;False
2022-01-30;1;0;18;82;6;False
2022-01-31;0;0;6;72;7;False
