date;Nicolás Maduro;Kate Mosse;Philip Pullman;Intellectual property;air travel;isPartial
2022-01-01;0;0;8;0;34;False
2022-01-02;5;0;0;10;63;False
2022-01-03;0;0;14;23;51;False
2022-01-04;0;0;30;20;54;False
2022-01-05;0;10;11;16;77;False
2022-01-06;0;0;12;20;61;False
2022-01-07;0;0;0;30;63;False
2022-01-08;0;0;5;9;71;False
2022-01-09;0;0;10;14;55;False
2022-01-10;0;0;17;32;97;False
2022-01-11;0;7;14;25;79;False
2022-01-12;6;7;7;25;67;False
2022-01-13;0;0;0;39;100;False
2022-01-14;0;0;0;27;84;False
2022-01-15;0;0;9;18;66;False
2022-01-16;0;7;10;32;72;False
2022-01-17;0;0;6;21;65;False
2022-01-18;0;0;8;24;59;False
2022-01-19;0;0;6;23;74;False
2022-01-20;0;0;8;27;54;False
2022-01-21;0;4;7;19;38;False
2022-01-22;0;18;9;0;53;False
2022-01-23;0;7;5;10;69;False
2022-01-24;0;7;15;35;97;False
2022-01-25;10;4;0;31;49;False
2022-01-26;0;13;6;19;64;False
2022-01-27;0;9;6;19;71;False
2022-01-28;0;10;0;18;49;False
2022-01-29;0;8;15;17;60;False
2022-01-30;0;7;0;17;71;False
2022-01-31;0;0;7;24;82;False
