date;kristen stewart;steven spielberg;nancy pelosi;wyoming;air travel;isPartial
2022-01-01;58;54;0;22;34;False
2022-01-02;53;43;0;33;63;False
2022-01-03;39;31;15;21;51;False
2022-01-04;27;27;9;14;54;False
2022-01-05;33;15;5;7;77;False
2022-01-06;24;18;27;9;61;False
2022-01-07;45;31;8;36;63;False
2022-01-08;45;36;10;10;71;False
2022-01-09;55;29;8;19;55;False
2022-01-10;60;28;17;24;97;False
2022-01-11;51;17;32;25;79;False
2022-01-12;59;27;15;16;67;False
2022-01-13;33;14;25;18;100;False
2022-01-14;27;31;7;24;84;False
2022-01-15;31;23;6;25;66;False
2022-01-16;29;24;6;26;72;False
2022-01-17;25;18;22;25;65;False
2022-01-18;28;24;5;18;59;False
2022-01-19;17;17;0;17;74;False
2022-01-20;53;16;5;17;54;False
2022-01-21;41;25;13;16;38;False
2022-01-22;50;39;7;12;53;False
2022-01-23;47;19;17;17;69;False
2022-01-24;49;19;5;23;97;False
2022-01-25;59;16;9;21;49;False
2022-01-26;51;26;12;32;64;False
2022-01-27;23;0;15;30;71;False
2022-01-28;43;24;14;21;49;False
2022-01-29;44;22;6;56;60;False
2022-01-30;53;23;0;25;71;False
2022-01-31;29;15;0;10;82;False
