date;Superannuation;Freedom of religion;Doctor Who;Shaparak Khorsandi;air travel;isPartial
2022-01-01;0;0;100;1;2;False
2022-01-02;1;0;67;0;5;False
2022-01-03;2;0;34;0;4;False
2022-01-04;0;1;30;0;4;False
2022-01-05;0;0;27;0;6;False
2022-01-06;0;0;25;1;4;False
2022-01-07;0;0;25;1;5;False
2022-01-08;1;0;30;0;5;False
2022-01-09;1;0;31;0;4;False
2022-01-10;1;0;25;0;7;False
2022-01-11;1;0;20;0;6;False
2022-01-12;1;0;23;0;5;False
2022-01-13;2;0;24;1;7;False
2022-01-14;1;0;20;0;6;False
2022-01-15;0;0;28;1;5;False
2022-01-16;0;0;28;1;5;False
2022-01-17;1;0;19;0;5;False
2022-01-18;2;0;21;0;4;False
2022-01-19;1;0;17;0;5;False
2022-01-20;1;0;21;1;4;False
2022-01-21;0;0;23;1;3;False
2022-01-22;1;0;33;0;4;False
2022-01-23;1;0;29;0;5;False
2022-01-24;1;0;26;0;7;False
2022-01-25;1;0;23;1;4;False
2022-01-26;2;0;22;0;5;False
2022-01-27;1;0;21;0;5;False
2022-01-28;1;0;22;0;4;False
2022-01-29;1;0;31;0;4;False
2022-01-30;0;0;27;0;5;False
2022-01-31;2;0;20;0;6;False
