date;texas synagogue siege;bobbi-anne mcleod;global warming;prince george;air travel;isPartial
2022-01-01;0;0;11;16;11;False
2022-01-02;3;0;9;7;24;False
2022-01-03;5;0;5;6;23;False
2022-01-04;4;0;17;8;25;False
2022-01-05;0;4;15;9;31;False
2022-01-06;0;0;10;10;25;False
2022-01-07;4;0;9;21;28;False
2022-01-08;0;3;6;20;27;False
2022-01-09;0;0;16;23;20;False
2022-01-10;0;2;17;15;33;False
2022-01-11;0;0;14;8;27;False
2022-01-12;0;0;20;6;32;False
2022-01-13;0;0;21;13;32;False
2022-01-14;0;0;16;13;33;False
2022-01-15;0;0;8;9;27;False
2022-01-16;7;0;16;14;31;False
2022-01-17;4;0;13;12;22;False
2022-01-18;4;3;21;7;24;False
2022-01-19;2;0;11;7;32;False
2022-01-20;0;2;17;5;14;False
2022-01-21;2;0;14;10;10;False
2022-01-22;0;0;11;15;26;False
2022-01-23;0;0;24;21;29;False
2022-01-24;0;0;28;14;32;False
2022-01-25;0;0;25;9;19;False
2022-01-26;0;0;12;4;25;False
2022-01-27;0;0;22;14;21;False
2022-01-28;3;0;14;14;18;False
2022-01-29;0;0;9;100;20;False
2022-01-30;4;0;17;29;25;False
2022-01-31;0;0;18;12;33;False
