date;Us;Peter Bogdanovich;Asda;Design and crafts;air travel;isPartial
2022-01-01;24;0;100;0;0;False
2022-01-02;25;0;63;0;0;False
2022-01-03;30;0;71;0;0;False
2022-01-04;32;0;42;0;0;False
2022-01-05;31;0;42;0;1;False
2022-01-06;27;1;38;0;0;False
2022-01-07;28;2;43;0;0;False
2022-01-08;29;0;48;0;1;False
2022-01-09;31;0;48;0;0;False
2022-01-10;30;0;43;0;1;False
2022-01-11;27;0;39;0;1;False
2022-01-12;27;0;37;0;0;False
2022-01-13;28;0;41;0;1;False
2022-01-14;23;0;36;0;1;False
2022-01-15;29;0;48;0;0;False
2022-01-16;28;0;50;0;1;False
2022-01-17;32;0;40;0;0;False
2022-01-18;29;0;37;0;0;False
2022-01-19;24;0;33;0;1;False
2022-01-20;27;0;36;0;0;False
2022-01-21;26;0;39;0;0;False
2022-01-22;24;0;45;0;0;False
2022-01-23;30;0;44;0;0;False
2022-01-24;35;0;43;0;1;False
2022-01-25;26;0;37;0;0;False
2022-01-26;26;0;42;0;0;False
2022-01-27;24;0;38;0;1;False
2022-01-28;30;0;44;0;0;False
2022-01-29;30;0;45;0;0;False
2022-01-30;30;0;47;0;1;False
2022-01-31;30;0;42;0;1;False
