date;richard branson;newquay;aerospace;youtube;air travel;isPartial
2022-01-01;0;2;0;92;0;False
2022-01-02;0;2;0;88;0;False
2022-01-03;0;2;0;80;0;False
2022-01-04;0;2;0;78;0;False
2022-01-05;0;2;0;81;0;False
2022-01-06;0;1;0;79;0;False
2022-01-07;0;1;0;85;0;False
2022-01-08;0;2;0;91;0;False
2022-01-09;0;2;0;89;0;False
2022-01-10;0;2;0;84;1;False
2022-01-11;0;2;1;80;0;False
2022-01-12;0;1;0;83;0;False
2022-01-13;0;2;1;92;1;False
2022-01-14;0;2;0;83;0;False
2022-01-15;0;2;0;93;0;False
2022-01-16;0;2;0;100;0;False
2022-01-17;0;2;0;86;0;False
2022-01-18;0;2;0;80;0;False
2022-01-19;0;2;0;80;0;False
2022-01-20;0;1;0;79;0;False
2022-01-21;0;1;0;84;0;False
2022-01-22;0;2;0;88;0;False
2022-01-23;0;2;0;83;0;False
2022-01-24;0;2;0;80;1;False
2022-01-25;0;1;0;74;0;False
2022-01-26;0;1;1;83;0;False
2022-01-27;0;1;1;81;0;False
2022-01-28;0;2;0;97;0;False
2022-01-29;0;2;0;92;0;False
2022-01-30;0;2;0;86;0;False
2022-01-31;0;1;0;91;0;False
