date;gcse;regina king;chernobyl;united kingdom;air travel;isPartial
2022-01-01;31;0;15;11;2;False
2022-01-02;41;0;7;15;3;False
2022-01-03;50;0;5;14;3;False
2022-01-04;63;0;6;20;3;False
2022-01-05;68;0;5;19;4;False
2022-01-06;70;0;4;17;3;False
2022-01-07;60;0;5;18;4;False
2022-01-08;49;0;4;14;4;False
2022-01-09;76;0;4;16;3;False
2022-01-10;81;0;6;18;4;False
2022-01-11;90;0;4;17;4;False
2022-01-12;84;0;5;19;4;False
2022-01-13;100;0;6;19;4;False
2022-01-14;59;0;3;17;4;False
2022-01-15;51;1;5;14;4;False
2022-01-16;76;0;6;15;4;False
2022-01-17;82;1;4;19;3;False
2022-01-18;77;0;4;18;3;False
2022-01-19;73;0;5;19;4;False
2022-01-20;75;1;4;16;2;False
2022-01-21;62;0;5;18;1;False
2022-01-22;44;44;5;14;4;False
2022-01-23;70;28;7;16;4;False
2022-01-24;92;6;6;20;4;False
2022-01-25;72;3;5;16;3;False
2022-01-26;76;2;6;18;3;False
2022-01-27;66;1;5;17;3;False
2022-01-28;61;1;5;15;2;False
2022-01-29;50;1;4;15;3;False
2022-01-30;66;2;7;13;3;False
2022-01-31;78;1;7;20;4;False
