date;nusrat ghani;julian assange;slovakia;air;air travel;isPartial
2022-01-01;0;0;1;71;0;False
2022-01-02;0;1;1;88;1;False
2022-01-03;0;0;1;85;1;False
2022-01-04;0;0;1;95;1;False
2022-01-05;0;0;1;79;1;False
2022-01-06;0;0;0;69;1;False
2022-01-07;0;0;1;76;1;False
2022-01-08;0;0;1;88;1;False
2022-01-09;0;0;0;100;1;False
2022-01-10;0;0;1;89;1;False
2022-01-11;0;0;0;83;1;False
2022-01-12;0;0;1;77;1;False
2022-01-13;0;0;1;83;1;False
2022-01-14;0;0;1;74;1;False
2022-01-15;0;0;1;94;1;False
2022-01-16;0;0;1;88;1;False
2022-01-17;0;0;1;86;1;False
2022-01-18;0;0;0;76;1;False
2022-01-19;0;0;1;74;1;False
2022-01-20;0;0;1;74;1;False
2022-01-21;0;0;1;68;0;False
2022-01-22;1;0;0;85;1;False
2022-01-23;6;0;1;89;1;False
2022-01-24;3;2;1;91;1;False
2022-01-25;0;0;1;72;1;False
2022-01-26;0;0;1;73;1;False
2022-01-27;0;0;1;72;1;False
2022-01-28;0;0;1;77;1;False
2022-01-29;0;0;1;84;1;False
2022-01-30;0;0;1;81;1;False
2022-01-31;0;0;1;80;1;False
