date;lifestyle;new year's resolutions;conservation;kenya;air travel;isPartial
2022-01-01;65;10;17;61;11;False
2022-01-02;75;4;29;71;20;False
2022-01-03;75;4;27;75;16;False
2022-01-04;91;7;47;62;17;False
2022-01-05;61;0;48;75;24;False
2022-01-06;74;5;48;72;19;False
2022-01-07;70;3;45;67;20;False
2022-01-08;59;0;32;60;22;False
2022-01-09;73;3;34;75;17;False
2022-01-10;89;3;56;78;30;False
2022-01-11;73;2;52;94;25;False
2022-01-12;71;5;49;87;21;False
2022-01-13;72;0;63;86;31;False
2022-01-14;59;2;45;74;26;False
2022-01-15;77;0;33;73;21;False
2022-01-16;69;0;38;83;23;False
2022-01-17;68;2;57;79;20;False
2022-01-18;77;2;50;78;19;False
2022-01-19;58;0;51;66;23;False
2022-01-20;65;0;52;70;17;False
2022-01-21;60;0;42;65;12;False
2022-01-22;61;0;30;70;17;False
2022-01-23;67;0;36;87;22;False
2022-01-24;73;0;67;100;31;False
2022-01-25;67;2;63;67;16;False
2022-01-26;64;0;47;82;20;False
2022-01-27;70;0;42;82;22;False
2022-01-28;66;0;46;78;16;False
2022-01-29;58;0;30;68;19;False
2022-01-30;65;0;33;67;22;False
2022-01-31;76;0;59;77;26;False
