date;George HW Bush;Paul Pogba;Lewis Hamilton;Formula One;air travel;isPartial
2022-01-01;0;8;77;9;10;False
2022-01-02;0;6;76;12;18;False
2022-01-03;0;11;81;15;15;False
2022-01-04;0;5;58;11;15;False
2022-01-05;2;4;66;14;22;False
2022-01-06;0;3;61;18;18;False
2022-01-07;0;7;100;16;18;False
2022-01-08;0;9;78;14;20;False
2022-01-09;0;8;68;20;16;False
2022-01-10;0;7;62;18;28;False
2022-01-11;1;5;77;13;23;False
2022-01-12;2;0;76;12;19;False
2022-01-13;0;5;77;18;29;False
2022-01-14;0;0;65;17;24;False
2022-01-15;0;4;88;12;19;False
2022-01-16;0;6;91;12;21;False
2022-01-17;0;6;66;13;19;False
2022-01-18;0;7;49;12;17;False
2022-01-19;0;9;41;15;21;False
2022-01-20;0;3;35;15;15;False
2022-01-21;0;3;51;15;11;False
2022-01-22;0;1;61;12;15;False
2022-01-23;0;6;61;18;20;False
2022-01-24;0;6;54;20;28;False
2022-01-25;0;5;50;18;14;False
2022-01-26;1;2;49;18;18;False
2022-01-27;0;3;49;13;20;False
2022-01-28;1;6;51;18;14;False
2022-01-29;0;9;62;16;17;False
2022-01-30;0;10;47;10;20;False
2022-01-31;0;5;81;17;24;False
