date;marijuana;blackburn;newcastle united;cardiff;air travel;isPartial
2022-01-01;1;26;23;66;1;False
2022-01-02;2;39;25;81;2;False
2022-01-03;1;24;23;69;2;False
2022-01-04;1;22;26;72;2;False
2022-01-05;1;24;30;67;2;False
2022-01-06;1;22;29;67;2;False
2022-01-07;1;24;31;68;2;False
2022-01-08;1;31;78;75;2;False
2022-01-09;1;24;28;78;2;False
2022-01-10;1;23;26;78;3;False
2022-01-11;1;22;25;67;2;False
2022-01-12;1;22;26;65;2;False
2022-01-13;1;24;28;76;3;False
2022-01-14;2;24;23;76;3;False
2022-01-15;2;37;57;91;2;False
2022-01-16;1;28;24;77;2;False
2022-01-17;1;29;23;75;2;False
2022-01-18;1;26;22;68;2;False
2022-01-19;1;32;23;64;2;False
2022-01-20;1;21;24;67;2;False
2022-01-21;1;22;24;72;1;False
2022-01-22;1;29;56;83;2;False
2022-01-23;1;23;21;74;2;False
2022-01-24;1;53;25;81;3;False
2022-01-25;0;29;21;71;2;False
2022-01-26;1;25;26;73;2;False
2022-01-27;1;23;28;70;2;False
2022-01-28;1;27;33;83;2;False
2022-01-29;2;39;39;89;2;False
2022-01-30;1;23;39;100;2;False
2022-01-31;1;30;54;79;3;False
