date;Severn Trent;Norman Foster;Ted Hughes;Poet laureate;air travel;isPartial
2022-01-01;26;6;0;24;19;False
2022-01-02;30;3;4;0;35;False
2022-01-03;45;0;4;0;29;False
2022-01-04;86;3;5;0;30;False
2022-01-05;52;4;4;3;43;False
2022-01-06;69;0;0;5;34;False
2022-01-07;65;11;7;5;36;False
2022-01-08;42;3;4;4;40;False
2022-01-09;45;4;10;3;31;False
2022-01-10;80;3;0;9;55;False
2022-01-11;59;3;7;5;44;False
2022-01-12;60;3;0;0;38;False
2022-01-13;91;6;8;4;56;False
2022-01-14;56;0;9;4;47;False
2022-01-15;35;7;0;0;37;False
2022-01-16;41;0;4;0;41;False
2022-01-17;73;4;0;4;37;False
2022-01-18;71;0;7;3;33;False
2022-01-19;73;11;4;44;42;False
2022-01-20;75;7;3;6;30;False
2022-01-21;77;0;0;6;21;False
2022-01-22;43;0;6;10;30;False
2022-01-23;33;9;9;5;39;False
2022-01-24;100;0;12;4;55;False
2022-01-25;76;3;0;12;28;False
2022-01-26;77;0;6;0;36;False
2022-01-27;88;6;0;0;40;False
2022-01-28;86;5;3;0;28;False
2022-01-29;51;4;5;5;34;False
2022-01-30;56;5;6;6;40;False
2022-01-31;92;0;0;3;47;False
