date;Aldi;Deliveroo;Lennie James;Caryl Churchill;air travel;isPartial
2022-01-01;88;21;0;0;1;False
2022-01-02;75;17;0;0;1;False
2022-01-03;100;15;0;0;1;False
2022-01-04;38;14;0;0;1;False
2022-01-05;36;14;0;0;1;False
2022-01-06;36;14;0;0;1;False
2022-01-07;36;18;0;0;1;False
2022-01-08;41;20;0;0;1;False
2022-01-09;52;14;0;0;1;False
2022-01-10;38;12;0;0;2;False
2022-01-11;35;13;0;0;1;False
2022-01-12;35;12;1;0;1;False
2022-01-13;35;14;0;0;2;False
2022-01-14;35;17;0;0;2;False
2022-01-15;45;20;0;0;1;False
2022-01-16;53;15;0;0;1;False
2022-01-17;37;11;0;0;1;False
2022-01-18;35;12;0;0;1;False
2022-01-19;33;12;0;0;1;False
2022-01-20;34;12;0;0;1;False
2022-01-21;35;17;0;0;1;False
2022-01-22;42;20;0;0;1;False
2022-01-23;51;16;0;0;1;False
2022-01-24;43;14;0;0;2;False
2022-01-25;37;12;0;0;1;False
2022-01-26;39;13;0;0;1;False
2022-01-27;37;13;0;0;1;False
2022-01-28;38;20;0;0;1;False
2022-01-29;43;21;0;0;1;False
2022-01-30;46;15;0;0;1;False
2022-01-31;38;12;0;0;2;False
