date;Race in education;Fox News;US television industry;Nish Kumar;air travel;isPartial
2022-01-01;0;58;0;8;17;False
2022-01-02;0;39;0;0;32;False
2022-01-03;0;60;0;4;26;False
2022-01-04;0;54;0;4;28;False
2022-01-05;0;39;0;0;40;False
2022-01-06;0;57;0;3;32;False
2022-01-07;0;63;0;0;33;False
2022-01-08;0;47;0;4;37;False
2022-01-09;0;49;0;7;28;False
2022-01-10;0;47;0;0;50;False
2022-01-11;0;54;0;0;41;False
2022-01-12;0;48;0;6;35;False
2022-01-13;6;74;0;4;52;False
2022-01-14;0;52;0;6;43;False
2022-01-15;0;59;0;3;34;False
2022-01-16;0;68;0;5;37;False
2022-01-17;0;59;0;0;34;False
2022-01-18;0;42;0;11;30;False
2022-01-19;3;51;0;4;38;False
2022-01-20;0;58;0;4;28;False
2022-01-21;0;44;0;2;20;False
2022-01-22;0;41;0;13;27;False
2022-01-23;0;53;0;2;36;False
2022-01-24;0;65;0;0;50;False
2022-01-25;0;60;0;7;25;False
2022-01-26;0;58;0;9;33;False
2022-01-27;0;100;0;0;37;False
2022-01-28;0;61;0;16;26;False
2022-01-29;0;36;0;6;31;False
2022-01-30;5;52;0;5;37;False
2022-01-31;0;72;0;7;43;False
