date;Gangs;Tonga;The Pacific;Jed Mercurio;air travel;isPartial
2022-01-01;2;0;1;0;1;False
2022-01-02;3;0;2;0;2;False
2022-01-03;4;0;2;0;1;False
2022-01-04;4;0;2;0;1;False
2022-01-05;4;0;0;0;2;False
2022-01-06;4;0;1;0;2;False
2022-01-07;5;0;1;0;2;False
2022-01-08;7;0;2;0;2;False
2022-01-09;6;1;1;0;1;False
2022-01-10;3;0;1;0;3;False
2022-01-11;4;0;1;0;2;False
2022-01-12;3;1;2;0;2;False
2022-01-13;3;1;2;0;3;False
2022-01-14;3;0;1;0;2;False
2022-01-15;4;100;2;0;2;False
2022-01-16;3;73;3;0;2;False
2022-01-17;2;68;2;0;2;False
2022-01-18;2;44;1;1;2;False
2022-01-19;2;19;1;1;2;False
2022-01-20;2;26;2;1;1;False
2022-01-21;2;11;1;0;1;False
2022-01-22;3;9;1;0;1;False
2022-01-23;4;9;1;1;2;False
2022-01-24;2;8;2;1;3;False
2022-01-25;2;4;1;0;1;False
2022-01-26;2;3;1;0;2;False
2022-01-27;2;4;1;0;2;False
2022-01-28;2;2;1;0;1;False
2022-01-29;3;2;1;0;2;False
2022-01-30;3;2;1;0;2;False
2022-01-31;2;1;1;0;2;False
