date;fire service;snp;anne sacoolas;cop27;air travel;isPartial
2022-01-01;18;11;0;0;9;False
2022-01-02;18;17;2;0;18;False
2022-01-03;19;17;2;0;17;False
2022-01-04;28;31;0;0;18;False
2022-01-05;29;26;4;3;24;False
2022-01-06;29;15;0;0;19;False
2022-01-07;23;13;0;0;21;False
2022-01-08;19;15;2;0;20;False
2022-01-09;21;15;0;0;15;False
2022-01-10;20;15;0;0;25;False
2022-01-11;31;15;0;2;20;False
2022-01-12;23;29;3;0;24;False
2022-01-13;32;19;0;3;24;False
2022-01-14;15;15;9;0;25;False
2022-01-15;20;15;0;0;20;False
2022-01-16;18;16;0;0;24;False
2022-01-17;27;12;0;0;17;False
2022-01-18;26;14;4;3;18;False
2022-01-19;19;23;3;0;24;False
2022-01-20;18;26;0;3;11;False
2022-01-21;23;15;0;2;8;False
2022-01-22;19;12;0;0;20;False
2022-01-23;17;21;0;0;22;False
2022-01-24;24;19;2;0;24;False
2022-01-25;29;14;1;1;14;False
2022-01-26;21;26;0;0;19;False
2022-01-27;15;15;0;5;16;False
2022-01-28;22;16;0;0;14;False
2022-01-29;14;12;0;0;15;False
2022-01-30;18;15;0;0;19;False
2022-01-31;28;100;3;0;25;False
