date;Doreen Lawrence;Anneliese Dodds;Mountains;Colleges;air travel;isPartial
2022-01-01;0;0;83;26;12;False
2022-01-02;0;3;81;38;21;False
2022-01-03;3;0;85;50;17;False
2022-01-04;2;0;70;38;18;False
2022-01-05;0;0;82;45;26;False
2022-01-06;2;2;73;32;21;False
2022-01-07;0;0;85;35;22;False
2022-01-08;0;0;89;24;24;False
2022-01-09;0;7;100;34;19;False
2022-01-10;8;2;83;37;33;False
2022-01-11;0;3;84;50;27;False
2022-01-12;0;0;73;44;23;False
2022-01-13;0;3;73;50;34;False
2022-01-14;0;4;64;37;29;False
2022-01-15;0;0;96;36;23;False
2022-01-16;3;2;98;45;25;False
2022-01-17;0;0;84;47;22;False
2022-01-18;0;5;71;36;20;False
2022-01-19;2;3;63;38;25;False
2022-01-20;0;0;67;39;18;False
2022-01-21;5;2;79;36;13;False
2022-01-22;0;0;90;31;18;False
2022-01-23;0;0;85;41;23;False
2022-01-24;0;0;93;59;33;False
2022-01-25;1;0;87;49;17;False
2022-01-26;0;5;72;40;22;False
2022-01-27;0;3;80;40;24;False
2022-01-28;0;5;67;29;17;False
2022-01-29;0;2;82;24;20;False
2022-01-30;2;0;83;30;24;False
2022-01-31;0;0;67;41;28;False
