date;Productivity;Paul Myners;Gordon Brown;Financial crisis;air travel;isPartial
2022-01-01;23;0;35;27;34;False
2022-01-02;35;0;29;14;63;False
2022-01-03;33;0;25;13;51;False
2022-01-04;57;0;28;22;54;False
2022-01-05;50;0;23;13;77;False
2022-01-06;51;0;12;18;61;False
2022-01-07;32;0;25;8;63;False
2022-01-08;24;5;20;11;71;False
2022-01-09;40;0;23;6;55;False
2022-01-10;57;0;11;12;97;False
2022-01-11;36;0;25;13;79;False
2022-01-12;34;0;34;23;67;False
2022-01-13;57;0;35;12;100;False
2022-01-14;50;0;39;8;84;False
2022-01-15;33;0;26;18;66;False
2022-01-16;21;56;23;32;72;False
2022-01-17;50;24;25;21;65;False
2022-01-18;58;0;39;8;59;False
2022-01-19;57;6;36;11;74;False
2022-01-20;46;0;19;24;54;False
2022-01-21;39;0;23;20;38;False
2022-01-22;19;0;25;15;53;False
2022-01-23;34;0;44;26;69;False
2022-01-24;68;0;36;24;97;False
2022-01-25;51;0;32;26;49;False
2022-01-26;58;0;26;22;64;False
2022-01-27;38;0;13;15;71;False
2022-01-28;48;0;26;6;49;False
2022-01-29;14;0;25;13;60;False
2022-01-30;34;0;16;12;71;False
2022-01-31;36;6;25;9;82;False
