date;Grace Tame;Aukus;Australian military;Cincinnati Bengals;air travel;isPartial
2022-01-01;0;18;0;0;22;False
2022-01-02;0;8;0;24;40;False
2022-01-03;0;0;0;9;33;False
2022-01-04;0;0;0;6;34;False
2022-01-05;0;0;0;0;49;False
2022-01-06;0;0;0;6;39;False
2022-01-07;0;7;0;2;40;False
2022-01-08;0;0;0;0;46;False
2022-01-09;0;5;3;12;35;False
2022-01-10;0;9;6;5;62;False
2022-01-11;3;0;5;0;50;False
2022-01-12;5;0;0;5;43;False
2022-01-13;0;0;0;0;64;False
2022-01-14;0;0;4;0;54;False
2022-01-15;0;0;4;30;42;False
2022-01-16;8;0;0;37;46;False
2022-01-17;0;6;0;8;42;False
2022-01-18;0;7;0;8;38;False
2022-01-19;0;0;0;6;48;False
2022-01-20;0;0;0;0;35;False
2022-01-21;0;0;0;8;24;False
2022-01-22;0;0;0;26;34;False
2022-01-23;0;0;0;36;44;False
2022-01-24;0;4;0;17;62;False
2022-01-25;47;0;0;2;32;False
2022-01-26;22;6;0;0;41;False
2022-01-27;5;0;0;0;46;False
2022-01-28;15;0;0;4;32;False
2022-01-29;7;0;0;0;38;False
2022-01-30;0;0;0;100;46;False
2022-01-31;0;4;0;77;53;False
