date;Fight Club;Chuck Palahniuk;David Fincher;Censorship;air travel;isPartial
2022-01-01;11;0;2;2;7;False
2022-01-02;9;0;1;1;13;False
2022-01-03;9;0;0;6;11;False
2022-01-04;8;0;2;3;11;False
2022-01-05;11;0;2;2;16;False
2022-01-06;10;0;0;3;13;False
2022-01-07;12;1;0;3;13;False
2022-01-08;12;0;1;0;15;False
2022-01-09;13;0;0;4;12;False
2022-01-10;12;0;3;2;21;False
2022-01-11;8;0;0;4;17;False
2022-01-12;12;0;2;2;14;False
2022-01-13;12;2;0;4;21;False
2022-01-14;11;0;2;1;18;False
2022-01-15;15;1;3;3;14;False
2022-01-16;14;0;0;2;15;False
2022-01-17;12;1;3;3;14;False
2022-01-18;8;1;2;0;12;False
2022-01-19;15;0;0;2;16;False
2022-01-20;13;1;0;3;11;False
2022-01-21;100;0;0;3;8;False
2022-01-22;33;0;2;2;11;False
2022-01-23;22;0;3;5;15;False
2022-01-24;19;0;1;4;21;False
2022-01-25;24;0;0;3;10;False
2022-01-26;26;0;5;4;14;False
2022-01-27;21;0;3;4;15;False
2022-01-28;22;0;2;4;10;False
2022-01-29;23;0;4;1;13;False
2022-01-30;20;0;1;3;15;False
2022-01-31;16;2;2;5;17;False
