date;Logic puzzles;Wages growth;Osteoporosis;Marie Kondo;air travel;isPartial
2022-01-01;0;0;36;0;34;False
2022-01-02;0;0;36;5;62;False
2022-01-03;0;0;43;7;51;False
2022-01-04;0;0;68;16;53;False
2022-01-05;0;15;59;0;76;False
2022-01-06;0;0;49;0;61;False
2022-01-07;0;6;60;6;63;False
2022-01-08;0;0;50;30;71;False
2022-01-09;6;9;56;17;55;False
2022-01-10;0;6;76;29;96;False
2022-01-11;7;0;76;6;78;False
2022-01-12;9;0;65;12;67;False
2022-01-13;6;0;96;13;99;False
2022-01-14;0;0;51;13;83;False
2022-01-15;6;0;73;7;66;False
2022-01-16;0;0;47;17;71;False
2022-01-17;8;0;85;12;64;False
2022-01-18;5;4;85;8;58;False
2022-01-19;0;0;76;10;74;False
2022-01-20;0;0;80;4;54;False
2022-01-21;0;0;94;9;38;False
2022-01-22;0;0;61;6;53;False
2022-01-23;6;0;52;6;68;False
2022-01-24;0;0;96;12;96;False
2022-01-25;11;0;87;0;49;False
2022-01-26;6;16;100;10;63;False
2022-01-27;5;0;72;13;71;False
2022-01-28;5;0;80;8;49;False
2022-01-29;0;0;58;9;59;False
2022-01-30;0;10;34;8;71;False
2022-01-31;5;0;76;25;82;False
