date;Surfing holidays;Victoria holidays;Sharks;Dolphins;air travel;isPartial
2022-01-01;0;0;21;9;3;False
2022-01-02;0;0;16;18;7;False
2022-01-03;0;2;14;9;5;False
2022-01-04;0;1;12;5;6;False
2022-01-05;0;0;15;8;8;False
2022-01-06;0;0;10;7;6;False
2022-01-07;0;0;21;5;8;False
2022-01-08;1;1;21;7;7;False
2022-01-09;0;0;16;15;5;False
2022-01-10;0;1;12;19;9;False
2022-01-11;0;1;13;11;7;False
2022-01-12;0;0;100;7;8;False
2022-01-13;0;2;54;11;9;False
2022-01-14;0;1;23;7;9;False
2022-01-15;0;1;21;9;8;False
2022-01-16;0;0;32;11;8;False
2022-01-17;0;0;20;7;6;False
2022-01-18;0;1;15;7;7;False
2022-01-19;0;1;13;8;7;False
2022-01-20;0;1;11;7;4;False
2022-01-21;0;1;14;8;4;False
2022-01-22;1;0;19;8;6;False
2022-01-23;0;1;27;10;7;False
2022-01-24;1;1;15;8;8;False
2022-01-25;1;1;14;8;5;False
2022-01-26;0;1;18;9;7;False
2022-01-27;0;0;16;8;6;False
2022-01-28;0;1;15;10;6;False
2022-01-29;0;1;16;9;4;False
2022-01-30;1;1;46;10;8;False
2022-01-31;0;0;17;9;9;False
