date;Ryanair;Michael O'Leary;Airline industry;Ireland;air travel;isPartial
2022-01-01;24;0;0;74;1;False
2022-01-02;29;0;1;78;2;False
2022-01-03;30;0;0;80;2;False
2022-01-04;62;0;0;89;2;False
2022-01-05;35;0;0;89;3;False
2022-01-06;36;0;0;85;2;False
2022-01-07;31;0;0;81;2;False
2022-01-08;32;0;0;76;2;False
2022-01-09;34;0;0;79;2;False
2022-01-10;36;0;0;92;3;False
2022-01-11;36;0;0;83;3;False
2022-01-12;33;0;0;82;2;False
2022-01-13;39;1;0;97;3;False
2022-01-14;34;0;0;81;3;False
2022-01-15;32;0;0;83;2;False
2022-01-16;42;1;1;85;2;False
2022-01-17;35;0;0;90;2;False
2022-01-18;35;0;0;87;2;False
2022-01-19;31;0;1;80;3;False
2022-01-20;32;0;0;83;2;False
2022-01-21;32;0;0;82;1;False
2022-01-22;33;0;0;79;2;False
2022-01-23;40;0;0;83;2;False
2022-01-24;46;0;0;100;3;False
2022-01-25;38;0;0;84;2;False
2022-01-26;41;0;0;85;2;False
2022-01-27;37;0;0;78;2;False
2022-01-28;34;0;0;81;2;False
2022-01-29;35;0;0;82;2;False
2022-01-30;41;0;0;80;2;False
2022-01-31;42;0;0;88;3;False
