date;Fossils;Mississippi;Emma Watson;Harry Potter;air travel;isPartial
2022-01-01;1;0;14;100;0;False
2022-01-02;0;1;11;80;1;False
2022-01-03;1;0;8;55;1;False
2022-01-04;0;0;6;39;1;False
2022-01-05;1;0;4;26;1;False
2022-01-06;0;0;3;24;1;False
2022-01-07;1;0;3;24;1;False
2022-01-08;0;0;3;31;1;False
2022-01-09;1;0;3;28;1;False
2022-01-10;1;0;1;21;1;False
2022-01-11;1;0;2;19;1;False
2022-01-12;0;1;1;18;1;False
2022-01-13;1;1;3;18;1;False
2022-01-14;0;0;2;17;1;False
2022-01-15;1;1;2;23;1;False
2022-01-16;1;1;2;26;1;False
2022-01-17;1;0;1;17;1;False
2022-01-18;0;0;1;14;1;False
2022-01-19;0;0;1;14;1;False
2022-01-20;0;1;1;13;1;False
2022-01-21;0;0;1;15;0;False
2022-01-22;0;0;1;20;1;False
2022-01-23;0;1;1;20;1;False
2022-01-24;1;1;1;17;1;False
2022-01-25;0;0;1;13;1;False
2022-01-26;1;0;1;14;1;False
2022-01-27;0;0;1;14;1;False
2022-01-28;0;1;1;15;1;False
2022-01-29;0;1;1;19;1;False
2022-01-30;0;0;1;18;1;False
2022-01-31;1;0;1;13;1;False
