date;Joan Didion;Greggs;Boston Marathon bombing;Dzhokhar Tsarnaev;air travel;isPartial
2022-01-01;3;100;0;0;4;False
2022-01-02;2;67;1;1;7;False
2022-01-03;3;72;0;1;6;False
2022-01-04;2;58;0;0;6;False
2022-01-05;2;49;0;0;9;False
2022-01-06;2;54;0;0;7;False
2022-01-07;1;55;1;0;7;False
2022-01-08;1;55;0;0;8;False
2022-01-09;1;56;1;0;6;False
2022-01-10;0;49;0;0;11;False
2022-01-11;1;48;0;2;9;False
2022-01-12;1;48;0;0;8;False
2022-01-13;2;59;0;0;12;False
2022-01-14;0;51;0;0;10;False
2022-01-15;2;60;0;2;8;False
2022-01-16;3;66;0;0;8;False
2022-01-17;1;48;0;0;8;False
2022-01-18;1;51;0;1;7;False
2022-01-19;0;44;0;0;9;False
2022-01-20;0;50;0;0;6;False
2022-01-21;1;54;0;0;4;False
2022-01-22;0;59;0;1;6;False
2022-01-23;0;53;1;0;8;False
2022-01-24;0;54;0;1;11;False
2022-01-25;2;47;0;0;6;False
2022-01-26;0;44;0;0;7;False
2022-01-27;0;45;0;0;8;False
2022-01-28;1;49;0;0;6;False
2022-01-29;1;58;0;0;7;False
2022-01-30;1;54;1;0;8;False
2022-01-31;1;40;0;1;10;False
