date;mauritius;paisley;foster care;aberystwyth university;air travel;isPartial
2022-01-01;46;64;2;2;7;False
2022-01-02;58;72;3;0;13;False
2022-01-03;58;74;2;2;10;False
2022-01-04;65;84;6;3;11;False
2022-01-05;61;79;5;2;15;False
2022-01-06;50;76;4;4;12;False
2022-01-07;47;70;2;4;11;False
2022-01-08;59;76;3;3;14;False
2022-01-09;67;71;3;0;9;False
2022-01-10;53;83;0;2;18;False
2022-01-11;52;83;6;2;12;False
2022-01-12;44;75;9;1;14;False
2022-01-13;55;76;5;3;16;False
2022-01-14;44;75;3;5;14;False
2022-01-15;55;75;4;0;14;False
2022-01-16;74;81;2;1;16;False
2022-01-17;56;65;1;3;10;False
2022-01-18;47;71;4;5;9;False
2022-01-19;53;64;4;1;14;False
2022-01-20;52;70;3;3;9;False
2022-01-21;53;72;5;3;9;False
2022-01-22;61;89;3;3;8;False
2022-01-23;64;71;2;2;14;False
2022-01-24;62;81;5;2;16;False
2022-01-25;54;78;4;3;10;False
2022-01-26;54;70;5;1;13;False
2022-01-27;47;77;2;4;12;False
2022-01-28;53;92;2;0;12;False
2022-01-29;56;100;3;3;10;False
2022-01-30;62;85;1;3;13;False
2022-01-31;51;86;2;4;15;False
