date;finance;duchess of cambridge;supply crisis;sir ed davey;air travel;isPartial
2022-01-01;45;3;0;0;1;False
2022-01-02;57;2;0;0;2;False
2022-01-03;69;1;0;0;2;False
2022-01-04;99;1;0;0;2;False
2022-01-05;87;1;0;0;3;False
2022-01-06;87;2;0;0;2;False
2022-01-07;82;2;0;0;3;False
2022-01-08;57;4;0;0;2;False
2022-01-09;60;14;0;0;2;False
2022-01-10;92;4;0;0;3;False
2022-01-11;85;2;0;0;3;False
2022-01-12;84;2;0;0;3;False
2022-01-13;90;2;0;0;3;False
2022-01-14;75;1;0;0;3;False
2022-01-15;57;1;0;0;3;False
2022-01-16;59;1;0;0;3;False
2022-01-17;88;1;0;0;2;False
2022-01-18;81;1;0;0;2;False
2022-01-19;78;1;0;0;3;False
2022-01-20;74;1;0;0;1;False
2022-01-21;75;1;0;0;1;False
2022-01-22;55;2;0;0;2;False
2022-01-23;58;2;0;0;3;False
2022-01-24;100;2;0;1;3;False
2022-01-25;81;1;0;0;2;False
2022-01-26;88;1;0;0;2;False
2022-01-27;76;1;0;0;2;False
2022-01-28;81;2;0;0;2;False
2022-01-29;56;3;0;0;2;False
2022-01-30;59;2;0;0;2;False
2022-01-31;90;1;0;0;3;False
