date;helen mccrory;larry king;nikki grahame;sarah harding;air travel;isPartial
2022-01-01;100;4;6;7;6;False
2022-01-02;93;3;8;12;12;False
2022-01-03;45;1;4;4;10;False
2022-01-04;23;2;5;4;10;False
2022-01-05;19;4;0;4;15;False
2022-01-06;11;0;4;4;12;False
2022-01-07;20;2;5;5;12;False
2022-01-08;19;2;2;3;13;False
2022-01-09;13;0;3;3;10;False
2022-01-10;13;1;1;0;18;False
2022-01-11;7;4;0;0;15;False
2022-01-12;6;2;0;1;13;False
2022-01-13;6;0;3;3;19;False
2022-01-14;7;3;0;3;16;False
2022-01-15;11;2;0;4;13;False
2022-01-16;9;0;0;4;14;False
2022-01-17;4;0;1;0;12;False
2022-01-18;11;2;2;3;11;False
2022-01-19;5;0;2;2;14;False
2022-01-20;4;2;1;4;10;False
2022-01-21;9;1;0;3;7;False
2022-01-22;11;0;3;4;10;False
2022-01-23;9;2;2;3;13;False
2022-01-24;8;2;5;0;18;False
2022-01-25;6;0;2;2;9;False
2022-01-26;23;0;4;3;12;False
2022-01-27;16;2;0;4;14;False
2022-01-28;8;1;2;2;9;False
2022-01-29;9;0;0;2;11;False
2022-01-30;11;1;1;3;14;False
2022-01-31;7;0;0;0;16;False
