date;gyms;fitness trackers;fitness;life;air travel;isPartial
2022-01-01;5;0;17;79;0;False
2022-01-02;6;0;20;73;1;False
2022-01-03;7;0;21;73;1;False
2022-01-04;6;0;21;75;1;False
2022-01-05;5;0;17;65;1;False
2022-01-06;4;0;17;71;1;False
2022-01-07;4;0;16;69;1;False
2022-01-08;4;0;16;75;1;False
2022-01-09;5;0;18;73;1;False
2022-01-10;6;0;20;79;1;False
2022-01-11;5;0;18;74;1;False
2022-01-12;5;0;16;68;1;False
2022-01-13;4;0;15;81;1;False
2022-01-14;4;0;12;89;1;False
2022-01-15;4;0;14;100;1;False
2022-01-16;5;0;18;100;1;False
2022-01-17;5;0;16;88;1;False
2022-01-18;4;0;14;83;1;False
2022-01-19;4;0;14;78;1;False
2022-01-20;4;0;13;81;1;False
2022-01-21;3;0;12;76;0;False
2022-01-22;4;0;12;85;1;False
2022-01-23;5;0;15;82;1;False
2022-01-24;5;0;18;92;1;False
2022-01-25;4;0;15;84;1;False
2022-01-26;4;0;13;78;1;False
2022-01-27;3;0;12;77;1;False
2022-01-28;3;0;13;83;1;False
2022-01-29;4;0;13;78;1;False
2022-01-30;4;0;14;71;1;False
2022-01-31;5;0;16;78;1;False
