date;Ahmaud Arbery;Montana;NSW south coast;Australasia holidays;air travel;isPartial
2022-01-01;0;50;0;0;11;False
2022-01-02;0;46;0;0;21;False
2022-01-03;0;53;1;0;17;False
2022-01-04;4;39;0;0;18;False
2022-01-05;0;43;0;0;25;False
2022-01-06;0;38;0;0;20;False
2022-01-07;55;41;0;0;21;False
2022-01-08;100;52;0;0;24;False
2022-01-09;22;39;0;0;18;False
2022-01-10;9;47;0;0;32;False
2022-01-11;3;51;0;0;26;False
2022-01-12;6;38;2;0;22;False
2022-01-13;2;66;0;0;33;False
2022-01-14;0;46;0;0;28;False
2022-01-15;2;57;0;0;22;False
2022-01-16;0;59;0;0;24;False
2022-01-17;0;34;0;0;21;False
2022-01-18;2;44;0;0;19;False
2022-01-19;0;36;2;0;25;False
2022-01-20;0;41;0;0;18;False
2022-01-21;0;49;2;0;13;False
2022-01-22;0;50;0;0;18;False
2022-01-23;0;63;0;0;23;False
2022-01-24;6;46;0;0;32;False
2022-01-25;0;42;3;0;16;False
2022-01-26;0;40;2;0;21;False
2022-01-27;2;34;4;0;24;False
2022-01-28;2;46;0;0;16;False
2022-01-29;0;50;2;0;20;False
2022-01-30;1;42;0;0;24;False
2022-01-31;0;40;0;0;27;False
