date;Gold;Nasdaq;Arm;IPOs;air travel;isPartial
2022-01-01;79;1;18;0;1;False
2022-01-02;79;1;18;0;1;False
2022-01-03;76;2;17;0;1;False
2022-01-04;64;3;17;0;1;False
2022-01-05;64;4;16;0;1;False
2022-01-06;64;4;15;0;1;False
2022-01-07;66;4;17;0;1;False
2022-01-08;95;1;19;0;1;False
2022-01-09;83;1;19;0;1;False
2022-01-10;74;5;19;0;2;False
2022-01-11;70;3;18;1;1;False
2022-01-12;66;3;17;0;1;False
2022-01-13;66;4;18;0;2;False
2022-01-14;63;4;16;0;2;False
2022-01-15;83;1;18;0;1;False
2022-01-16;81;1;18;0;1;False
2022-01-17;65;2;18;0;1;False
2022-01-18;62;4;17;0;1;False
2022-01-19;60;3;16;0;1;False
2022-01-20;72;4;16;0;1;False
2022-01-21;59;6;16;0;1;False
2022-01-22;78;2;16;0;1;False
2022-01-23;79;2;19;0;1;False
2022-01-24;100;12;20;0;2;False
2022-01-25;78;6;18;0;1;False
2022-01-26;68;6;17;0;1;False
2022-01-27;69;5;18;0;1;False
2022-01-28;70;5;17;0;1;False
2022-01-29;77;1;18;0;1;False
2022-01-30;84;1;18;0;1;False
2022-01-31;68;5;18;1;2;False
