date;Cryonics;Planets;Mercury;Andrew Garfield;air travel;isPartial
2022-01-01;0;24;100;98;5;False
2022-01-02;1;21;66;96;9;False
2022-01-03;1;22;51;91;7;False
2022-01-04;0;23;63;73;8;False
2022-01-05;0;22;60;72;11;False
2022-01-06;2;21;63;53;9;False
2022-01-07;0;24;65;68;9;False
2022-01-08;0;24;68;91;10;False
2022-01-09;1;22;64;78;8;False
2022-01-10;0;28;61;64;14;False
2022-01-11;0;22;60;52;11;False
2022-01-12;0;21;61;48;10;False
2022-01-13;0;26;77;53;14;False
2022-01-14;0;28;73;48;12;False
2022-01-15;0;22;74;68;10;False
2022-01-16;1;25;72;58;10;False
2022-01-17;0;28;76;42;9;False
2022-01-18;1;28;74;45;9;False
2022-01-19;0;24;72;32;11;False
2022-01-20;0;25;64;26;8;False
2022-01-21;1;24;73;27;5;False
2022-01-22;0;22;62;36;8;False
2022-01-23;0;30;65;38;10;False
2022-01-24;0;25;76;33;14;False
2022-01-25;0;23;65;26;7;False
2022-01-26;2;23;71;26;9;False
2022-01-27;0;25;70;25;10;False
2022-01-28;1;21;68;35;7;False
2022-01-29;0;35;69;34;9;False
2022-01-30;0;25;68;31;10;False
2022-01-31;0;21;65;20;12;False
