date;Industrial action;Serco;Trade unions;Musicals;air travel;isPartial
2022-01-01;1;1;0;20;5;False
2022-01-02;0;2;0;23;10;False
2022-01-03;0;4;0;13;8;False
2022-01-04;1;5;4;15;9;False
2022-01-05;1;8;2;14;12;False
2022-01-06;0;8;3;16;10;False
2022-01-07;0;6;2;11;10;False
2022-01-08;0;3;0;23;11;False
2022-01-09;2;3;0;34;9;False
2022-01-10;1;7;1;15;16;False
2022-01-11;0;6;3;16;13;False
2022-01-12;2;8;2;15;11;False
2022-01-13;1;6;0;17;16;False
2022-01-14;0;7;0;18;13;False
2022-01-15;1;3;3;23;11;False
2022-01-16;2;0;1;19;12;False
2022-01-17;0;6;3;15;10;False
2022-01-18;2;4;3;16;9;False
2022-01-19;1;6;2;14;12;False
2022-01-20;1;7;1;18;9;False
2022-01-21;0;1;0;15;6;False
2022-01-22;0;2;1;22;9;False
2022-01-23;0;3;0;19;11;False
2022-01-24;1;8;2;25;16;False
2022-01-25;0;6;1;15;8;False
2022-01-26;0;4;2;13;10;False
2022-01-27;0;6;0;14;11;False
2022-01-28;1;3;2;24;8;False
2022-01-29;0;0;1;100;10;False
2022-01-30;0;2;0;49;11;False
2022-01-31;2;9;1;22;13;False
