date;prince william;poverty;derby;2022 world cup;air travel;isPartial
2022-01-01;5;1;42;6;1;False
2022-01-02;4;2;42;5;2;False
2022-01-03;3;2;57;4;1;False
2022-01-04;3;3;48;5;1;False
2022-01-05;2;4;44;4;2;False
2022-01-06;2;3;43;4;2;False
2022-01-07;3;4;47;4;2;False
2022-01-08;3;3;55;4;2;False
2022-01-09;7;3;44;5;1;False
2022-01-10;3;4;48;5;2;False
2022-01-11;2;3;46;4;2;False
2022-01-12;2;3;43;3;2;False
2022-01-13;4;4;48;4;2;False
2022-01-14;3;3;51;4;2;False
2022-01-15;3;2;70;6;2;False
2022-01-16;3;2;63;6;2;False
2022-01-17;2;3;55;5;2;False
2022-01-18;2;4;52;4;1;False
2022-01-19;2;3;48;5;2;False
2022-01-20;3;3;51;6;1;False
2022-01-21;3;2;54;5;1;False
2022-01-22;2;2;90;6;1;False
2022-01-23;2;2;44;7;2;False
2022-01-24;2;5;54;5;2;False
2022-01-25;2;3;47;5;1;False
2022-01-26;1;4;50;5;2;False
2022-01-27;1;3;46;5;2;False
2022-01-28;2;2;51;7;1;False
2022-01-29;4;2;54;8;1;False
2022-01-30;2;2;100;7;2;False
2022-01-31;2;3;57;5;2;False
