date;Sadiq Khan;Air pollution;Car tax;Rich lists;air travel;isPartial
2022-01-01;2;1;54;0;2;False
2022-01-02;0;1;52;0;4;False
2022-01-03;1;1;100;0;3;False
2022-01-04;6;2;64;0;3;False
2022-01-05;2;1;56;0;5;False
2022-01-06;1;2;60;0;4;False
2022-01-07;1;1;65;0;4;False
2022-01-08;1;0;58;0;4;False
2022-01-09;1;1;45;0;3;False
2022-01-10;1;1;55;0;6;False
2022-01-11;2;1;52;0;5;False
2022-01-12;1;3;49;0;4;False
2022-01-13;1;4;51;0;6;False
2022-01-14;0;5;52;0;5;False
2022-01-15;1;1;64;0;4;False
2022-01-16;1;2;60;0;4;False
2022-01-17;1;1;63;0;4;False
2022-01-18;5;2;56;0;4;False
2022-01-19;4;2;49;0;5;False
2022-01-20;1;2;55;0;3;False
2022-01-21;2;2;55;0;2;False
2022-01-22;1;1;48;0;3;False
2022-01-23;1;1;42;0;4;False
2022-01-24;1;2;61;0;6;False
2022-01-25;1;2;53;0;3;False
2022-01-26;0;1;56;0;4;False
2022-01-27;1;2;55;0;4;False
2022-01-28;1;1;60;0;3;False
2022-01-29;1;1;60;0;4;False
2022-01-30;1;1;57;0;4;False
2022-01-31;2;3;89;0;5;False
