date;Americas;World news;Media;Newcastle United;air travel;isPartial
2022-01-01;3;12;52;23;1;False
2022-01-02;2;12;62;25;2;False
2022-01-03;3;10;65;23;2;False
2022-01-04;3;9;78;26;2;False
2022-01-05;3;9;82;30;2;False
2022-01-06;3;10;81;29;2;False
2022-01-07;2;9;76;31;2;False
2022-01-08;3;9;69;78;2;False
2022-01-09;3;10;69;28;2;False
2022-01-10;4;9;94;26;3;False
2022-01-11;3;9;87;25;2;False
2022-01-12;3;9;84;26;2;False
2022-01-13;3;10;91;28;3;False
2022-01-14;3;10;71;23;3;False
2022-01-15;4;11;69;57;2;False
2022-01-16;5;12;71;24;2;False
2022-01-17;4;10;85;23;2;False
2022-01-18;3;9;85;22;2;False
2022-01-19;4;9;79;23;2;False
2022-01-20;3;10;74;24;2;False
2022-01-21;2;10;74;24;1;False
2022-01-22;3;11;64;57;2;False
2022-01-23;3;10;63;22;2;False
2022-01-24;3;13;100;25;3;False
2022-01-25;3;11;81;21;2;False
2022-01-26;3;9;82;26;2;False
2022-01-27;3;11;80;28;2;False
2022-01-28;3;11;82;33;2;False
2022-01-29;3;11;68;39;2;False
2022-01-30;4;10;65;39;2;False
2022-01-31;3;11;90;54;3;False
