date;nasuwt;sound of 2022;cop26;nuclear power;air travel;isPartial
2022-01-01;10;11;34;24;34;False
2022-01-02;15;8;34;23;63;False
2022-01-03;16;0;34;48;51;False
2022-01-04;13;10;38;15;54;False
2022-01-05;11;14;54;34;77;False
2022-01-06;14;32;31;32;61;False
2022-01-07;16;11;39;55;63;False
2022-01-08;12;18;28;36;71;False
2022-01-09;13;9;45;32;55;False
2022-01-10;18;6;37;34;97;False
2022-01-11;13;9;38;29;79;False
2022-01-12;21;6;47;38;67;False
2022-01-13;15;0;41;48;100;False
2022-01-14;5;0;22;36;84;False
2022-01-15;19;9;30;37;66;False
2022-01-16;0;19;25;45;72;False
2022-01-17;11;0;55;42;65;False
2022-01-18;0;0;39;43;59;False
2022-01-19;18;0;36;31;74;False
2022-01-20;12;9;43;26;54;False
2022-01-21;13;4;32;31;38;False
2022-01-22;0;7;16;31;53;False
2022-01-23;11;0;28;49;69;False
2022-01-24;34;0;45;52;97;False
2022-01-25;5;0;49;46;49;False
2022-01-26;20;0;47;35;64;False
2022-01-27;9;0;49;60;71;False
2022-01-28;10;0;30;41;49;False
2022-01-29;14;9;4;29;60;False
2022-01-30;0;5;19;16;71;False
2022-01-31;27;0;45;23;82;False
