date;North African food and drink;Malaysian food and drink;Judaism;Climate science;air travel;isPartial
2022-01-01;0;0;14;6;34;False
2022-01-02;0;0;31;0;63;False
2022-01-03;0;0;10;5;51;False
2022-01-04;0;0;39;5;54;False
2022-01-05;0;0;35;9;77;False
2022-01-06;0;0;26;0;61;False
2022-01-07;0;0;62;6;63;False
2022-01-08;0;0;38;0;71;False
2022-01-09;0;0;27;0;55;False
2022-01-10;0;0;34;5;97;False
2022-01-11;0;0;40;0;79;False
2022-01-12;0;0;54;6;67;False
2022-01-13;0;0;94;0;100;False
2022-01-14;0;0;35;9;84;False
2022-01-15;0;0;33;5;66;False
2022-01-16;0;0;39;0;72;False
2022-01-17;0;0;60;0;65;False
2022-01-18;0;0;70;10;59;False
2022-01-19;0;0;45;7;74;False
2022-01-20;0;0;46;0;54;False
2022-01-21;0;0;34;0;38;False
2022-01-22;0;0;31;0;53;False
2022-01-23;0;0;37;9;69;False
2022-01-24;0;0;24;7;97;False
2022-01-25;0;0;32;7;49;False
2022-01-26;0;0;46;0;64;False
2022-01-27;0;0;40;0;71;False
2022-01-28;0;0;31;6;49;False
2022-01-29;0;0;16;0;60;False
2022-01-30;0;0;39;0;71;False
2022-01-31;0;0;38;9;82;False
