date;Executive pay and bonuses;Corporate governance;Priti Patel;Tobacco industry;air travel;isPartial
2022-01-01;0;0;12;4;12;False
2022-01-02;0;3;16;0;23;False
2022-01-03;0;4;8;0;19;False
2022-01-04;0;0;18;0;20;False
2022-01-05;0;12;7;0;28;False
2022-01-06;0;5;15;0;22;False
2022-01-07;0;8;18;0;23;False
2022-01-08;0;5;8;4;26;False
2022-01-09;0;8;18;0;20;False
2022-01-10;0;7;7;0;35;False
2022-01-11;0;9;13;0;29;False
2022-01-12;0;8;36;0;24;False
2022-01-13;0;4;47;0;36;False
2022-01-14;0;6;36;0;30;False
2022-01-15;0;7;16;0;24;False
2022-01-16;0;2;23;0;26;False
2022-01-17;0;5;43;0;24;False
2022-01-18;0;8;34;7;21;False
2022-01-19;0;8;33;0;27;False
2022-01-20;0;17;15;0;20;False
2022-01-21;0;10;20;2;14;False
2022-01-22;0;4;15;0;19;False
2022-01-23;0;0;30;0;25;False
2022-01-24;0;9;32;0;35;False
2022-01-25;0;10;17;3;18;False
2022-01-26;0;9;16;0;23;False
2022-01-27;0;4;16;0;26;False
2022-01-28;0;15;18;0;18;False
2022-01-29;0;0;100;0;22;False
2022-01-30;0;2;9;0;26;False
2022-01-31;0;3;24;0;30;False
