date;Belarus;Natural disasters;Internally displaced people;Extreme weather;air travel;isPartial
2022-01-01;36;13;0;6;34;False
2022-01-02;15;7;0;0;63;False
2022-01-03;26;13;0;6;51;False
2022-01-04;38;16;0;8;54;False
2022-01-05;35;20;0;23;77;False
2022-01-06;36;0;0;7;61;False
2022-01-07;24;7;0;16;63;False
2022-01-08;32;17;0;8;71;False
2022-01-09;43;8;0;7;55;False
2022-01-10;39;18;0;21;97;False
2022-01-11;38;14;0;11;79;False
2022-01-12;38;8;0;26;67;False
2022-01-13;36;12;0;16;100;False
2022-01-14;32;12;0;13;84;False
2022-01-15;24;22;0;9;66;False
2022-01-16;27;19;0;13;72;False
2022-01-17;43;25;0;15;65;False
2022-01-18;54;7;0;6;59;False
2022-01-19;73;9;0;9;74;False
2022-01-20;60;18;0;0;54;False
2022-01-21;77;9;0;5;38;False
2022-01-22;24;15;0;0;53;False
2022-01-23;60;5;0;5;69;False
2022-01-24;82;4;0;16;97;False
2022-01-25;89;13;0;9;49;False
2022-01-26;58;19;0;11;64;False
2022-01-27;52;7;0;16;71;False
2022-01-28;58;16;0;5;49;False
2022-01-29;64;5;0;16;60;False
2022-01-30;36;23;0;13;71;False
2022-01-31;48;16;0;14;82;False
