date;Hacking;Massachusetts;Psychiatry;Nicola Sturgeon;air travel;isPartial
2022-01-01;6;4;2;12;4;False
2022-01-02;4;7;2;13;8;False
2022-01-03;7;5;2;22;6;False
2022-01-04;8;9;4;36;7;False
2022-01-05;6;7;7;100;9;False
2022-01-06;7;6;3;8;7;False
2022-01-07;8;7;5;9;8;False
2022-01-08;8;4;2;7;9;False
2022-01-09;8;6;5;11;7;False
2022-01-10;6;7;5;13;12;False
2022-01-11;6;5;5;62;10;False
2022-01-12;5;5;6;13;8;False
2022-01-13;7;6;7;13;12;False
2022-01-14;4;4;8;8;10;False
2022-01-15;5;6;3;5;8;False
2022-01-16;9;6;3;9;9;False
2022-01-17;9;6;7;13;8;False
2022-01-18;8;6;5;37;7;False
2022-01-19;5;5;6;8;9;False
2022-01-20;6;5;7;5;7;False
2022-01-21;5;6;4;8;5;False
2022-01-22;7;5;3;7;6;False
2022-01-23;6;5;4;16;8;False
2022-01-24;9;7;5;7;12;False
2022-01-25;5;5;4;15;6;False
2022-01-26;6;5;7;7;8;False
2022-01-27;7;5;8;8;9;False
2022-01-28;9;4;6;7;6;False
2022-01-29;6;6;3;4;7;False
2022-01-30;5;6;2;4;9;False
2022-01-31;8;5;5;9;10;False
