date;Superhero movies;Greensill;Nadhim Zahawi;Sanjeev Gupta;air travel;isPartial
2022-01-01;6;0;3;0;15;False
2022-01-02;5;8;8;3;29;False
2022-01-03;4;0;25;0;23;False
2022-01-04;2;3;6;4;25;False
2022-01-05;3;0;14;0;35;False
2022-01-06;2;0;5;0;28;False
2022-01-07;0;2;0;2;29;False
2022-01-08;5;2;2;0;33;False
2022-01-09;0;0;68;0;25;False
2022-01-10;0;3;10;0;44;False
2022-01-11;0;0;4;0;36;False
2022-01-12;0;4;9;3;31;False
2022-01-13;0;4;8;0;46;False
2022-01-14;4;0;5;0;38;False
2022-01-15;8;0;3;5;30;False
2022-01-16;7;9;16;0;33;False
2022-01-17;3;5;100;3;30;False
2022-01-18;10;0;14;0;27;False
2022-01-19;0;0;0;0;34;False
2022-01-20;3;3;10;0;25;False
2022-01-21;0;2;5;0;17;False
2022-01-22;4;0;4;0;24;False
2022-01-23;0;6;15;6;31;False
2022-01-24;0;3;35;0;44;False
2022-01-25;7;2;7;0;23;False
2022-01-26;4;3;7;0;29;False
2022-01-27;3;0;4;4;33;False
2022-01-28;2;0;5;0;23;False
2022-01-29;6;4;2;0;27;False
2022-01-30;6;0;0;4;33;False
2022-01-31;2;3;2;0;38;False
