date;New Zealand netball team;David Moyes;John Maynard Keynes;Oliver Dowden;air travel;isPartial
2022-01-01;0;35;0;0;23;False
2022-01-02;0;10;8;0;43;False
2022-01-03;0;6;0;0;35;False
2022-01-04;4;3;0;9;37;False
2022-01-05;4;6;0;0;53;False
2022-01-06;4;7;0;0;42;False
2022-01-07;0;0;0;0;43;False
2022-01-08;0;7;0;5;49;False
2022-01-09;0;73;0;7;38;False
2022-01-10;0;8;8;3;66;False
2022-01-11;0;3;5;8;54;False
2022-01-12;4;11;0;9;46;False
2022-01-13;0;13;6;0;69;False
2022-01-14;0;15;3;0;57;False
2022-01-15;0;11;0;0;45;False
2022-01-16;16;27;0;100;49;False
2022-01-17;0;0;10;11;44;False
2022-01-18;0;3;0;10;40;False
2022-01-19;5;4;4;0;51;False
2022-01-20;0;3;3;0;37;False
2022-01-21;0;10;0;0;26;False
2022-01-22;0;23;0;0;36;False
2022-01-23;0;15;0;0;47;False
2022-01-24;0;4;0;0;66;False
2022-01-25;0;4;0;0;34;False
2022-01-26;0;9;0;11;44;False
2022-01-27;0;3;4;0;49;False
2022-01-28;0;6;0;0;34;False
2022-01-29;0;6;0;0;41;False
2022-01-30;0;3;0;0;49;False
2022-01-31;0;3;6;5;57;False
