date;harry dunn;utah;seattle;sir ed davey;air travel;isPartial
2022-01-01;0;59;91;0;21;False
2022-01-02;12;70;97;5;38;False
2022-01-03;0;47;74;0;31;False
2022-01-04;0;45;70;0;33;False
2022-01-05;0;47;68;11;47;False
2022-01-06;0;35;66;0;37;False
2022-01-07;0;36;69;0;39;False
2022-01-08;5;50;87;4;43;False
2022-01-09;7;60;83;0;34;False
2022-01-10;0;36;65;0;59;False
2022-01-11;4;36;79;0;48;False
2022-01-12;0;38;77;0;41;False
2022-01-13;10;34;78;0;61;False
2022-01-14;14;37;62;9;51;False
2022-01-15;0;47;69;0;40;False
2022-01-16;0;30;66;5;44;False
2022-01-17;0;38;63;0;40;False
2022-01-18;3;36;53;0;36;False
2022-01-19;0;37;65;3;45;False
2022-01-20;0;34;50;0;33;False
2022-01-21;0;47;62;0;23;False
2022-01-22;8;35;81;0;32;False
2022-01-23;0;30;100;0;42;False
2022-01-24;0;35;60;0;59;False
2022-01-25;4;29;57;0;30;False
2022-01-26;0;42;62;0;39;False
2022-01-27;0;33;58;0;44;False
2022-01-28;0;37;59;0;30;False
2022-01-29;0;50;63;0;37;False
2022-01-30;0;35;60;0;43;False
2022-01-31;0;40;75;0;50;False
