date;Seth Meyers;Jair Bolsonaro;Hospitality industry;Paris;air travel;isPartial
2022-01-01;1;0;0;87;2;False
2022-01-02;0;0;0;95;3;False
2022-01-03;0;1;0;92;2;False
2022-01-04;0;0;0;89;2;False
2022-01-05;0;0;0;73;3;False
2022-01-06;0;0;1;73;3;False
2022-01-07;0;0;0;74;3;False
2022-01-08;0;0;1;84;3;False
2022-01-09;0;0;1;92;2;False
2022-01-10;0;0;0;80;4;False
2022-01-11;0;0;1;72;4;False
2022-01-12;0;0;0;71;3;False
2022-01-13;0;0;1;89;4;False
2022-01-14;0;1;0;77;4;False
2022-01-15;0;0;1;94;3;False
2022-01-16;0;0;1;100;3;False
2022-01-17;0;0;1;85;3;False
2022-01-18;0;0;0;74;3;False
2022-01-19;1;0;0;68;3;False
2022-01-20;0;0;1;72;2;False
2022-01-21;0;0;1;73;2;False
2022-01-22;0;0;0;86;2;False
2022-01-23;0;0;0;90;3;False
2022-01-24;0;0;1;89;4;False
2022-01-25;0;0;0;76;2;False
2022-01-26;0;0;0;77;3;False
2022-01-27;0;0;1;75;3;False
2022-01-28;0;0;1;75;2;False
2022-01-29;0;0;0;88;3;False
2022-01-30;0;0;0;91;3;False
2022-01-31;0;0;1;77;4;False
