date;Jimmy Fallon;Middle age;Skateboarding;Detroit;air travel;isPartial
2022-01-01;17;10;10;36;15;False
2022-01-02;17;10;16;52;27;False
2022-01-03;12;9;11;43;22;False
2022-01-04;5;16;0;40;23;False
2022-01-05;14;7;11;41;33;False
2022-01-06;10;6;5;44;26;False
2022-01-07;13;11;11;34;27;False
2022-01-08;11;15;12;51;31;False
2022-01-09;17;9;18;63;24;False
2022-01-10;17;12;7;46;42;False
2022-01-11;12;13;10;45;34;False
2022-01-12;14;12;12;46;29;False
2022-01-13;9;7;7;44;43;False
2022-01-14;8;8;4;46;36;False
2022-01-15;7;11;10;41;29;False
2022-01-16;19;13;16;100;31;False
2022-01-17;14;8;3;44;28;False
2022-01-18;9;11;14;40;25;False
2022-01-19;4;8;9;41;32;False
2022-01-20;10;12;8;33;23;False
2022-01-21;14;11;7;47;16;False
2022-01-22;16;9;20;31;23;False
2022-01-23;18;13;14;39;30;False
2022-01-24;10;13;5;80;42;False
2022-01-25;11;8;5;39;21;False
2022-01-26;17;4;3;37;28;False
2022-01-27;13;6;5;31;31;False
2022-01-28;10;12;6;45;21;False
2022-01-29;5;18;10;61;26;False
2022-01-30;6;15;6;42;31;False
2022-01-31;12;6;8;28;36;False
