date;pennsylvania;angela rayner;prime minister's questions;oil & gas industry;air travel;isPartial
2022-01-01;7;1;0;0;6;False
2022-01-02;10;2;1;0;12;False
2022-01-03;9;2;0;0;10;False
2022-01-04;7;4;2;0;9;False
2022-01-05;8;89;9;0;15;False
2022-01-06;12;52;0;0;12;False
2022-01-07;7;21;1;0;12;False
2022-01-08;7;15;0;0;12;False
2022-01-09;8;9;0;0;7;False
2022-01-10;8;32;0;0;19;False
2022-01-11;8;53;5;0;13;False
2022-01-12;8;100;56;0;13;False
2022-01-13;8;32;2;0;15;False
2022-01-14;8;24;1;0;14;False
2022-01-15;6;17;2;1;14;False
2022-01-16;12;11;0;0;16;False
2022-01-17;9;5;3;0;9;False
2022-01-18;9;13;1;0;12;False
2022-01-19;6;26;22;0;14;False
2022-01-20;6;17;3;0;9;False
2022-01-21;7;6;0;0;7;False
2022-01-22;5;11;0;1;10;False
2022-01-23;10;72;1;0;12;False
2022-01-24;7;45;2;0;16;False
2022-01-25;9;64;2;0;9;False
2022-01-26;6;27;15;0;12;False
2022-01-27;10;12;2;0;11;False
2022-01-28;9;12;2;0;9;False
2022-01-29;12;6;2;0;11;False
2022-01-30;6;5;0;0;14;False
2022-01-31;9;18;4;0;17;False
