date;US Congress;US Senate;Austria;Germany;air travel;isPartial
2022-01-01;1;1;43;60;3;False
2022-01-02;0;1;31;71;5;False
2022-01-03;1;1;30;67;4;False
2022-01-04;0;0;36;75;4;False
2022-01-05;0;1;44;78;6;False
2022-01-06;1;0;34;72;5;False
2022-01-07;0;0;32;68;5;False
2022-01-08;1;0;34;66;6;False
2022-01-09;1;0;41;81;5;False
2022-01-10;0;0;31;73;8;False
2022-01-11;0;1;31;75;6;False
2022-01-12;0;1;28;69;6;False
2022-01-13;0;1;40;79;8;False
2022-01-14;0;0;27;60;7;False
2022-01-15;0;0;30;67;5;False
2022-01-16;0;0;39;67;6;False
2022-01-17;0;0;32;73;5;False
2022-01-18;0;1;28;73;5;False
2022-01-19;0;0;30;67;6;False
2022-01-20;0;1;34;65;4;False
2022-01-21;0;0;33;70;3;False
2022-01-22;1;1;33;66;4;False
2022-01-23;0;0;38;65;6;False
2022-01-24;1;1;39;100;8;False
2022-01-25;0;1;30;82;4;False
2022-01-26;1;0;25;72;5;False
2022-01-27;0;0;27;73;6;False
2022-01-28;0;0;23;70;4;False
2022-01-29;0;0;24;62;5;False
2022-01-30;0;1;29;65;6;False
2022-01-31;0;0;26;72;7;False
